Status,Name,Implantation Day,Tracking Days,Stages,Previous date,Repeat,Next date
Dead,WSY023,2023年12月27日,281,6M,2024年10月3日,,
Dead,WSY038,2024年3月2日,258,6M,2024年11月15日,,
Dead,WSY048,2024年4月26日,601,1Y,2025年12月18日,,
Dead,WSY067,2024年6月20日,602,1Y,2026年2月12日,7,2026年2月19日
Dead,WSY068,2024年6月21日,741,2Y,2026年7月2日,7,2026年7月9日
Dead,WSY089,2025年3月6日,279,6M,2025年12月10日,,
Dead,WSY090,2025年3月6日,133,3M,2025年7月17日,,
Dead,WSY095,2025年3月19日,212,6M,2025年10月17日,,
Dead,WSY096,2025年3月19日,50,2M,2025年5月8日,,
Dead,WSY115,2025年5月17日,243,6M,2026年1月15日,7,2026年1月22日
Waiting,WSY116,2025年5月17日,418,1Y,2026年7月9日,7,2026年7月16日
Living,WSY117,2025年5月21日,425,1Y,2026年7月16日,7,2026年7月23日
Dead,WSY120,2025年5月29日,161,6M,2025年11月6日,,
Dead,WSY123,2025年7月3日,238,6M,2026年2月26日,7,2026年3月5日
Dead,WSY124,2025年7月3日,126,3M,2025年11月6日,,
Dead,WSY125,2025年7月5日,264,6M,2026年3月26日,7,2026年4月2日
Dead,WSY126,2025年7月5日,264,6M,2026年3月26日,7,2026年4月2日
Optotaging,WSY130,2025年8月27日,327,6M,2026年7月16日,7,2026年7月23日
Dead,WSY131,2025年8月27日,57,2M,2025年10月23日,,
Optotaging,WSY132,2026年1月4日,197,6M,2026年7月16日,7,2026年7月23日
Optotaging,WSY133,2026年1月4日,197,6M,2026年7月16日,7,2026年7月23日
Dead,WSY134,2026年1月8日,126,3M,2026年5月14日,7,2026年5月21日
Living,WSY136,2026年1月8日,193,6M,2026年7月16日,7,2026年7月23日
Dead,WSY137,2026年1月8日,126,3M,2026年5月14日,7,2026年5月21日
Waiting,WSY138,2026年1月23日,167,3M,2026年7月9日,7,2026年7月16日
Living,WSY140,2026年1月23日,178,6M,2026年7月16日,7,2026年7月23日
Living,WSY144,2026年2月4日,166,3M,2026年7月16日,7,2026年7月23日
Living,WSY146,2026年4月28日,83,3M,2026年7月16日,7,2026年7月23日
Dead,WSY147,2026年4月28日,37,1M,2026年6月4日,7,2026年6月11日
Dead,WSY148,2026年4月28日,37,1M,2026年6月4日,7,2026年6月11日
Living,WSY149,2026年4月28日,83,3M,2026年7月16日,7,2026年7月23日
Waiting,WSY150,2026年4月28日,58,2M,2026年6月25日,7,2026年7月2日
Dead,WSY151,2026年4月28日,44,1M,2026年6月11日,7,2026年6月18日
Living,WSY152,2026年4月29日,82,2M,2026年7月16日,7,2026年7月23日
Dead,WSY153,2026年4月29日,43,1M,2026年6月11日,7,2026年6月18日
Dead,WSY154,2026年4月29日,36,1M,2026年6月4日,7,2026年6月11日
Optotaging,WSY155,2026年6月11日,39,1M,2026年7月16日,7,2026年7月23日
Waiting,WSY156,2026年6月11日,28,1M,2026年7月9日,7,2026年7月16日
Optotaging,WSY157,2026年6月11日,39,1M,2026年7月16日,7,2026年7月23日
Waiting,WSY158,2026年6月11日,28,1M,2026年7月9日,7,2026年7月16日
Optotaging,WSY159,2026年7月6日,14,,2026年7月16日,7,2026年7月23日
Optotaging,WSY160,2026年7月6日,14,,2026年7月16日,7,2026年7月23日
Optotaging,WSY161,2026年7月6日,14,,2026年7月16日,7,2026年7月23日
Optotaging,WSY162,2026年7月9日,11,,2026年7月16日,7,2026年7月23日
Optotaging,WSY163,2026年7月9日,11,,2026年7月16日,7,2026年7月23日
Optotaging,WSY164,2026年7月9日,11,,2026年7月16日,7,2026年7月23日
Optotaging,WSY165,2026年7月10日,10,,2026年7月16日,7,2026年7月23日
Optotaging,WSY166,2026年7月10日,10,,2026年7月16日,7,2026年7月23日
Optotaging,WSY167,2026年7月10日,10,,2026年7月16日,7,2026年7月23日
Optotaging,WSY168,2026年7月10日,10,,2026年7月16日,7,2026年7月23日
Optotaging,WSY169,2026年7月13日,7,,2026年7月16日,7,2026年7月23日
Optotaging,WSY170,2026年7月13日,7,,2026年7月16日,7,2026年7月23日
Optotaging,WSY171,2026年7月13日,7,,2026年7月16日,7,2026年7月23日
